TERM,Category,2025,2026,Total,Entropy
postoperative delirium,临床,5,6,11,0.99403024
repetitive transcranial magnetic stimulation,未分类,5,2,7,0.8631207
central sensitization,未分类,3,3,6,1.0000001
electric stimulation therapy,临床,5,1,6,0.6500226
hospital stay,临床,2,3,5,0.9709505
long covid,临床,3,2,5,0.9709505
myocardial infarction,未分类,4,1,5,0.721928
postoperative recovery,临床,2,3,5,0.9709505
preferred reporting item,未分类,4,1,5,0.721928
sleep disorders,未分类,3,2,5,0.9709505
systematic reviews,未分类,4,1,5,0.721928
breast cancer,临床,2,2,4,1.0
chronic heart failure,临床,4,0,4,0.0
continuous glucose monitoring,临床,4,0,4,0.0
controlled clinical trial,临床,1,3,4,0.8112781
data mining,未分类,2,2,4,1.0
functional outcomes,未分类,3,1,4,0.8112781
insomnia severity index,临床,4,0,4,0.0
mediation analysis,未分类,0,4,4,0.0
negative emotions,未分类,3,1,4,0.8112781
perioperative anxiety,临床,1,3,4,0.8112781
postoperative complications,临床,3,1,4,0.8112781
postoperative day,临床,1,3,4,0.8112781
safety profile,临床,4,0,4,0.0
similar technology,未分类,2,2,4,1.0
temporomandibular disorders,未分类,4,0,4,0.0
vestibular rehabilitation,临床,2,2,4,1.0
acute mental stress,未分类,3,0,3,0.0
aged,临床,1,2,3,0.9182958
approval number,未分类,2,1,3,0.9182958
autonomic imbalance,未分类,2,1,3,0.9182958
breathing exercises,未分类,2,1,3,0.9182958
chinese clinical trial registry,临床,2,1,3,0.9182958
clinical trial registration,临床,3,0,3,0.0
effect sizes,未分类,2,1,3,0.9182958
emotional processing,未分类,3,0,3,0.0
entorhinal cortex,基础研究,0,3,3,0.0
favorable safety profile,临床,3,0,3,0.0
fibromyalgia impact questionnaire,临床,1,2,3,0.9182958
functional near-infrared spectroscopy (fnirs),基础研究,1,2,3,0.9182958
international conferences,未分类,2,1,3,0.9182958
lc-ne activity,未分类,3,0,3,0.0
long-term outcomes,临床,2,1,3,0.9182958
medical university,未分类,2,1,3,0.9182958
meta-analyses guidelines,临床,3,0,3,0.0
meta-analysis protocol,临床,1,2,3,0.9182958
negative symptoms,未分类,1,2,3,0.9182958
neural responses,未分类,2,1,3,0.9182958
neuromodulation technique,临床,3,0,3,0.0
noninvasive neuromodulation technique,临床,1,2,3,0.9182958
paired-pulse transcranial magnetic stimulation,未分类,3,0,3,0.0
parameter optimization,未分类,3,0,3,0.0
perioperative period,临床,1,2,3,0.9182958
pharmacological interventions,临床,2,1,3,0.9182958
postoperative nausea,临床,1,2,3,0.9182958
postoperative recovery quality,临床,1,2,3,0.9182958
recovery quality,未分类,1,2,3,0.9182958
respiratory-gated stimulation,未分类,2,1,3,0.9182958
standard protocol item,临床,2,1,3,0.9182958
standardized protocol,临床,1,2,3,0.9182958
symptom relief,未分类,1,2,3,0.9182958
synaptic plasticity,基础研究,1,2,3,0.9182958
therapeutic benefits,临床,3,0,3,0.0
transmission electron microscopy,未分类,2,1,3,0.9182958
trigeminal nerve stimulation,未分类,3,0,3,0.0
ulcerative colitis,临床,1,2,3,0.9182958
vagal pathways,基础研究,2,1,3,0.9182958
ventricular ejection fraction,未分类,2,1,3,0.9182958
8-13 hz,基础研究,2,0,2,0.0
acceptable level,临床,2,0,2,0.0
additional benefits,未分类,1,1,2,1.0
adipose tissue,未分类,2,0,2,0.0
adolescent insomnia,临床,2,0,2,0.0
adverse reactions,未分类,2,0,2,0.0
affiliated hospital,临床,2,0,2,0.0
age-related hearing loss,临床,2,0,2,0.0
alleviating postoperative pain,临床,1,1,2,1.0
alpha band,未分类,2,0,2,0.0
anaesthetics,未分类,1,1,2,1.0
analgesic requirement,临床,1,1,2,1.0
anesthesia induction,临床,0,2,2,0.0
anhedonia,未分类,1,1,2,1.0
anterior circulation,未分类,2,0,2,0.0
anti-obesity effects,临床,1,1,2,1.0
anxiety disorder,临床,1,1,2,1.0
aortic dissection,未分类,2,0,2,0.0
arousal system,未分类,1,1,2,1.0
arthroscopic shoulder surgery,临床,2,0,2,0.0
ashworth scale,临床,1,1,2,1.0
autonomic,未分类,1,1,2,1.0
autonomic dysregulation,未分类,1,1,2,1.0
baseline fc,未分类,1,1,2,1.0
baseline value,未分类,1,1,2,1.0
bdnf level,基础研究,1,1,2,1.0
behavioral assessments,未分类,2,0,2,0.0
biomechanical property,未分类,1,1,2,1.0
blood pressure variability,基础研究,1,1,2,1.0
blue light,未分类,2,0,2,0.0
brain connectivity,基础研究,2,0,2,0.0
brain injuries,未分类,1,1,2,1.0
brain tissue,未分类,0,2,2,0.0
branched-chain amino acid,未分类,2,0,2,0.0
breast cancer patients,临床,1,1,2,1.0
bristol stool form scale,临床,1,1,2,1.0
candidate biomarker,基础研究,1,1,2,1.0
cardiac output,未分类,2,0,2,0.0
cardiogenic shock,未分类,2,0,2,0.0
cardiovagal activity,未分类,2,0,2,0.0
carry-over effect,未分类,2,0,2,0.0
case presentation,未分类,2,0,2,0.0
causal evidence,未分类,1,1,2,1.0
cavum conchae,未分类,1,1,2,1.0
central amygdala,基础研究,2,0,2,0.0
chronic pain condition,临床,2,0,2,0.0
clinical protocols,未分类,2,0,2,0.0
clinical scores,未分类,1,1,2,1.0
cognitive impairments,未分类,2,0,2,0.0
cognitive load,未分类,2,0,2,0.0
common type,未分类,2,0,2,0.0
complex tasks,未分类,2,0,2,0.0
confusion assessment method,临床,2,0,2,0.0
consciousness level,未分类,1,1,2,1.0
controlled cortical impact,基础研究,0,2,2,0.0
cortical activation,基础研究,1,1,2,1.0
cortico-cardiac coherence,未分类,2,0,2,0.0
covid-19 condition,临床,2,0,2,0.0
current evidence,未分类,1,1,2,1.0
cytokine level,基础研究,1,1,2,1.0
eeg power spectrum,基础研究,2,0,2,0.0
eligible patients,临床,1,1,2,1.0
emotional disturbances,未分类,1,1,2,1.0
emotional function,未分类,2,0,2,0.0
emotions,未分类,1,1,2,1.0
enhancing cognitive ability,未分类,2,0,2,0.0
enhancing cognitive function,未分类,0,2,2,0.0
error-related negativity,未分类,0,2,2,0.0
evaluation system,临床,1,1,2,1.0
event segmentation,未分类,0,2,2,0.0
exercise,未分类,2,0,2,0.0
exploratory outcomes,临床,2,0,2,0.0
