TERM,2025,2026,Total,Entropy
vagus nerve stimulation,41,20,61,3.4074
vagus nerve,34,14,48,3.4927
heart rate variability,31,14,45,2.9636
sham stimulation,28,14,42,3.1882
secondary outcomes,23,10,33,2.2178
primary outcome,20,12,32,2.5009
neuromodulation,21,7,28,3.0206
sham group,20,7,27,2.5939
control group,15,10,25,2.9374
controlled trial,17,6,23,2.3163
autonomic nervous system,15,7,22,2.8083
adverse event,13,6,19,2.9050
randomized controlled trial,11,8,19,2.2384
clinical trial,15,3,18,2.4073
functional connectivity,12,6,18,3.0377
significant difference,8,9,17,3.1272
cognitive function,8,8,16,2.5719
depression,8,7,15,2.9930
electrical stimulation,12,3,15,3.0587
locus coeruleus,8,7,15,3.2280
systematic review,10,5,15,2.1397
healthy adults,11,3,14,2.2817
significant change,10,3,13,2.7203
autonomic function,9,3,12,2.3312
cymba conchae,8,4,12,2.9777
healthy participants,11,1,12,2.8443
sleep quality,5,7,12,1.7490
stimulation,8,4,12,2.4366
clinical application,9,2,11,2.2856
consecutive day,9,2,11,2.6528
postoperative delirium,5,6,11,0.9940
postoperative pain,4,7,11,1.4196
significant improvements,7,4,11,2.0636
therapeutic effects,4,7,11,1.6894
underlying mechanism,7,4,11,2.7996
auricular branch,6,4,10,3.4585
clinical trials,8,2,10,2.6412
future study,7,3,10,2.9802
heart rate,9,1,10,2.8232
inflammation,7,3,10,2.4570
non-invasive neuromodulation technique,6,4,10,2.0729
pittsburgh sleep quality index,6,4,10,2.3393
primary outcomes,7,3,10,1.5511
elderly patients,5,4,9,1.3610
ethics committee,6,3,9,1.6172
functional near-infrared spectroscopy,6,3,9,1.9363
sham-controlled trial,7,2,9,1.6140
stroke,5,4,9,2.7527
transcranial magnetic stimulation,7,2,9,2.0218
working memory,6,3,9,2.7840
cortical excitability,7,1,8,1.9751
healthy subjects,7,1,8,3.1390
mean age,3,5,8,1.6855
pupil dilation,6,2,8,2.3516
pupil size,6,2,8,2.6551
visual analogue scale,6,2,8,1.8676
acute effects,6,1,7,2.0495
autonomic regulation,5,2,7,2.2222
blood pressure,4,3,7,2.7396
case report,5,2,7,2.2842
controlled trials,3,4,7,2.1820
functional dyspepsia,3,4,7,1.7527
left ear,6,1,7,2.6085
major depressive disorder,4,3,7,3.0403
neural activity,4,3,7,2.2826
neural mechanism,3,4,7,3.0860
pain management,4,3,7,1.7527
parasympathetic activity,4,3,7,2.3554
previous study,3,4,7,3.2916
pulse width,6,1,7,1.8962
randomized clinical trial,4,3,7,1.9363
repetitive transcranial magnetic stimulation,5,2,7,0.8631
serious adverse event,4,3,7,2.7534
significant reduction,6,1,7,3.0087
statistical analysis,3,4,7,1.8464
active group,5,1,6,2.2222
anxiety,3,3,6,2.4131
autonomic dysfunction,3,3,6,1.8113
beneficial effects,3,3,6,3.0364
central sensitization,3,3,6,1.0000
chronic pain,4,2,6,2.3457
clinical efficacy,5,1,6,2.4040
electric stimulation therapy,5,1,6,0.6500
electroencephalography,3,3,6,2.5577
functional magnetic resonance imaging,4,2,6,3.4293
gut microbiota,5,1,6,1.1488
gut-brain axis,4,2,6,2.0588
insomnia,3,3,6,1.4488
intracortical facilitation,6,0,6,0.5917
pain intensity,3,3,6,2.4226
peer-reviewed journals,5,1,6,1.7610
primary outcome measure,5,1,6,2.0759
root mean square,4,2,6,2.7774
therapeutic potential,5,1,6,2.4508
treatment group,5,1,6,2.8352
active stimulation,3,2,5,2.6887
adverse effects,5,0,5,1.6577
alpha 7nachr,2,3,5,2.6887
autonomic nervous system activity,2,3,5,1.4591
behavioral tests,3,2,5,1.9056
brain stimulation,5,0,5,2.8994
cardiac dysfunction,3,2,5,1.5613
cardiac function,2,3,5,1.8424
clinical outcomes,3,2,5,1.8911
cognitive performance,3,2,5,2.1556
cymba concha,3,2,5,2.1556
depression-like behaviors,2,3,5,2.4464
double-blind sham-controlled trial,3,2,5,2.2999
drug-resistant epilepsy,5,0,5,2.5810
event-related potential,4,1,5,1.6645
experimental group,2,3,5,2.1710
healthy controls,4,1,5,2.1085
heart rate variability (hrv),4,1,5,2.2810
hospital stay,2,3,5,0.9710
il-1 beta,3,2,5,2.6887
intervention group,2,3,5,1.9056
lc-ne system,3,2,5,1.9749
locus coeruleus-norepinephrine,4,1,5,2.0000
long covid,3,2,5,0.9710
myocardial infarction,4,1,5,0.7219
optimal stimulation parameter,3,2,5,2.1556
parkinsons disease,3,2,5,2.6470
pivotal role,4,1,5,2.0000
postoperative recovery,2,3,5,0.9710
preferred reporting item,4,1,5,0.7219
prefrontal cortex,4,1,5,2.2638
secondary endpoints,3,2,5,1.8424
sham condition,3,2,5,2.6062
sham stimulation group,3,2,5,1.9056
sleep disorders,3,2,5,0.9710
subgroup analysis,3,2,5,1.9056
systematic reviews,4,1,5,0.7219
accumulating evidence,2,2,4,1.5219
acupuncture,1,3,4,1.3710
adult patients,3,1,4,1.8424
beck depression inventory,1,3,4,1.7925
between-group comparison,2,2,4,1.5219
brain function,3,1,4,1.8424
brain injury,4,0,4,1.2516
brain-derived neurotrophic factor,1,3,4,2.1972
breast cancer,2,2,4,1.0000
cardiac vagal activity,3,1,4,2.5949
chronic heart failure,4,0,4,0.0000
cognitive impairment,3,1,4,2.4493
continuous glucose monitoring,4,0,4,0.0000
controlled clinical trial,1,3,4,0.8113
corticospinal excitability,2,2,4,1.5219
data mining,2,2,4,1.0000
depression scores,4,0,4,0.7219
diastolic blood pressure,2,2,4,1.9183
eeg,3,1,4,3.0391
emotion regulation,0,4,4,0.9911
epilepsy,4,0,4,2.6556
ethical approval,4,0,4,0.9183
event-related potentials,4,0,4,2.3219
fatigue,2,2,4,1.5219
fmri,2,2,4,3.0850
functional imaging,4,0,4,0.7219
functional outcomes,3,1,4,0.8113
functional recovery,2,2,4,1.5219
healthy individuals,4,0,4,2.2826
heart failure,3,1,4,2.3710
high-fat diet,3,1,4,2.1972
inflammatory markers,4,0,4,0.7219
inflammatory response,3,1,4,2.5654
insomnia severity index,4,0,4,0.0000
median nerve stimulation,4,0,4,0.9183
mediation analysis,0,4,4,0.0000
mental health,4,0,4,0.7219
meta-analysis,3,1,4,2.1281
migraine,3,1,4,2.4056
molecular mechanism,1,3,4,1.8424
motor learning,2,2,4,2.1972
motor-evoked potentials,3,1,4,1.3710
negative emotions,3,1,4,0.8113
neural plasticity,0,4,4,1.2516
neurological disorders,3,1,4,1.7925
neuroplasticity,3,1,4,2.4056
nicotinic acetylcholine receptor,1,3,4,2.4194
non-invasive brain stimulation,2,2,4,2.4817
non-invasive method,3,1,4,3.0778
non-invasive neuromodulation,2,2,4,2.2810
open field test,2,2,4,2.1887
outcome measure,1,3,4,2.4194
oxidative stress,0,4,4,1.4949
perioperative anxiety,1,3,4,0.8113
positive effects,4,0,4,2.0464
postoperative complications,3,1,4,0.8113
postoperative day,1,3,4,0.8113
potential biomarkers,4,0,4,1.7500
potential mechanism,4,0,4,1.2516
previous research,2,2,4,2.0404
primary insomnia,2,2,4,2.1867
pupillometry,2,2,4,2.2810
randomised controlled trial,4,0,4,1.2516
rat model,1,3,4,2.9852
response inhibition,2,2,4,1.9183
safety profile,4,0,4,0.0000
salivary alpha-amylase,2,2,4,2.7778
signaling pathway,1,3,4,1.7925
significant decrease,2,2,4,2.5219
significant side effects,4,0,4,0.7219
similar technology,2,2,4,1.0000
small sample size,2,2,4,1.5219
stimulation protocol,3,1,4,2.6464
successive difference,2,2,4,2.2500
sympathovagal balance,2,2,4,1.5850
temporomandibular disorders,4,0,4,0.0000
therapeutic approach,2,2,4,2.4183
transcranial direct current stimulation,4,0,4,1.3788
transcutaneous electrical nerve stimulation,3,1,4,2.1281
traumatic brain injury,0,4,4,1.3788
trial registration,2,2,4,2.2359
vagal nerve stimulation,3,1,4,2.1281
vas scores,3,1,4,1.3710
vestibular rehabilitation,2,2,4,1.0000
visual analog scale,2,2,4,1.9183
western blot analysis,2,2,4,1.5219
within-subject design,3,1,4,1.4591
acute effect,3,0,3,0.8113
acute mental stress,3,0,3,0.0000
acute pain,2,1,3,1.5000
aged,1,2,3,0.9183
analgesic effects,1,2,3,2.2516
anterior cingulate cortex,3,0,3,2.1281
antidepressant effects,0,3,3,0.8113
anxiety symptoms,2,1,3,1.4591
approval number,2,1,3,0.9183
attention,3,0,3,1.3710
auricular concha,0,3,3,0.8113
autonomic balance,1,2,3,2.7500
autonomic imbalance,2,1,3,0.9183
autonomic modulation,2,1,3,2.2359
autonomic neuromodulation,2,1,3,1.5000
autonomic responses,2,1,3,1.9183
barthel index,2,1,3,1.4591
behavioral effects,1,2,3,1.9502
behavioral performance,2,1,3,1.5000
bonferroni correction,1,2,3,1.5000
breathing exercises,2,1,3,0.9183
central mechanism,1,2,3,1.5000
chinese clinical trial registry,2,1,3,0.9183
cholinergic anti-inflammatory pathway,2,1,3,2.9477
chronic unpredictable mild stress,1,2,3,2.2359
clinical symptoms,1,2,3,2.4194
clinical trial registration,3,0,3,0.0000
cognition,3,0,3,2.4056
cognitive control,3,0,3,2.4817
cognitive decline,3,0,3,1.3710
cognitive enhancement,2,1,3,1.9219
consecutive weeks,2,1,3,2.2359
conventional treatments,2,1,3,1.5000
critical role,2,1,3,1.5000
current intensity,2,1,3,1.9219
daily life,3,0,3,0.8113
deep breathing exercises,2,1,3,1.5000
depression scale,2,1,3,1.9219
depressive-like behaviors,2,1,3,1.5000
diabetic neuropathy,3,0,3,0.8113
diffusion tensor imaging,0,3,3,0.8113
disorders of consciousness,3,0,3,1.7527
ear,2,1,3,2.7500
effect sizes,2,1,3,0.9183
effective treatments,2,1,3,1.5000
ejection fraction,2,1,3,1.9219
electrodermal activity,2,1,3,1.5000
emotional processing,3,0,3,0.0000
entorhinal cortex,0,3,3,0.0000
exploratory analysis,1,2,3,2.7255
expression level,1,2,3,1.5000
favorable safety profile,3,0,3,0.0000
fear extinction,3,0,3,1.3710
fibromyalgia,1,2,3,1.9219
fibromyalgia impact questionnaire,1,2,3,0.9183
food intake,2,1,3,2.5033
fugl-meyer assessment,1,2,3,1.5000
functional near-infrared spectroscopy (fnirs),1,2,3,0.9183
gastric motility,3,0,3,1.8911
general anesthesia,2,1,3,1.5219
healthy young adults,1,2,3,2.2313
hospital anxiety,2,1,3,1.9219
hrv parameter,2,1,3,2.0588
hypertension,0,3,3,0.8113
hz pulse width,3,0,3,0.8113
il-6 level,2,1,3,1.5000
inflammatory responses,1,2,3,1.9183
inhibitory control,1,2,3,2.5033
international conferences,2,1,3,0.9183
interoception,3,0,3,1.9056
intracortical inhibition,3,0,3,0.8113
intraperitoneal injection,2,1,3,1.9183
invasive vagus nerve stimulation,2,1,3,3.0391
irritable bowel syndrome,3,0,3,0.8113
ischemic stroke,1,2,3,2.5000
lc activity,1,2,3,1.5000
lc-ne activity,3,0,3,0.0000
leading cause,1,2,3,1.9219
left tragus,3,0,3,1.8424
