MajorCluster,MinorCluster,count
-1,-1,1470
17,19,1331
17,22,1240
17,-1,1073
17,23,1061
17,8,814
17,18,779
15,4,540
10,0,520
2,1,354
8,1,353
17,14,303
14,1,284
17,5,269
9,3,235
17,7,229
17,17,221
11,2,219
13,1,195
7,1,190
12,2,183
3,2,160
0,2,137
17,13,130
15,-1,129
4,1,127
6,1,122
1,1,116
17,1,111
17,2,111
8,0,101
9,2,91
17,12,91
2,0,84
15,2,84
10,2,82
15,0,81
15,3,80
5,0,79
10,1,78
17,11,76
7,0,75
17,6,66
16,4,66
17,10,65
12,0,64
0,1,64
17,3,62
17,4,60
14,-1,56
17,20,56
17,0,55
15,1,54
17,16,54
17,9,52
17,15,51
17,21,50
5,1,47
9,1,47
16,1,40
14,0,35
8,-1,32
13,0,31
11,0,30
13,-1,27
3,0,22
12,4,21
0,0,19
9,0,19
10,-1,18
2,-1,18
3,1,17
12,1,17
12,3,17
11,1,16
11,-1,15
4,0,14
7,-1,13
6,0,7
1,0,7
16,2,7
16,3,6
16,0,6
4,-1,6
5,-1,3
12,-1,2
1,-1,2
6,-1,1
16,-1,1
